dataset,muscle,mvc,participant,test
Landry2016,post. delt.,3.053405405487168e-05,1,8
Landry2016,post. delt.,0.00018733828723127381,1,9
Landry2016,post. delt.,2.8240619856958927e-05,1,10
Landry2016,post. delt.,1.539247390963969e-05,1,13
Landry2016,post. delt.,4.7087066686500836e-05,1,15
Landry2016,pec. maj.,5.221739319219153e-06,1,0
Landry2016,pec. maj.,4.128409701253132e-06,1,2
Landry2016,pec. maj.,1.1353390492669868e-05,1,3
Landry2016,pec. maj.,5.905668208363094e-06,1,4
Landry2016,pec. maj.,8.850678110196626e-06,1,5
Landry2016,pec. maj.,0.00012356861778960596,1,7
Landry2016,pec. maj.,6.509038711598426e-06,1,8
Landry2016,pec. maj.,8.714245526617556e-06,1,9
Landry2016,pec. maj.,1.3277061536433183e-05,1,10
Landry2016,pec. maj.,0.00010731359398766695,1,13
